Album URL,Album Caption,Img URL,Img caption,DON,Notes
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796823&size=full&album=1&collection=823353&parent=74067,"Home for Incurables [Weemala, Mount St. Margaret's Hospital, Ryde]
Digital Order Number: a106201",a106201,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796825&size=full&album=1&collection=823353&parent=74067,"St Annes Church, Ryde
Digital Order Number: a106203",a106203,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=73816,"[Burnside Homes, Pennant Hills Road, Parramatta N.S.W.]",,,,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796776&size=full&album=1&collection=823342&parent=73816,"Dunkeld, Burnside, Parramatta
Digital Order Number: a106152",a106152,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796777&size=full&album=1&collection=823342&parent=73816,"Blairgowrie, Burnside, Parramatta
Digital Order Number: a106153",a106153,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796778&size=full&album=1&collection=823342&parent=73816,"Cumbrae, Burnside, Parramatta
Digital Order Number: a106154",a106154,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796781&size=full&album=1&collection=823342&parent=73816,"Son of the Rock, Burnside, Parramatta
Digital Order Number: a106157",a106157,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796782&size=full&album=1&collection=823342&parent=73816,"Ivanhoe, Burnside, Parramatta
Digital Order Number: a106158",a106158,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796783&size=full&album=1&collection=823342&parent=73816,"Highland Society's Home, Burnside, Parramatta
Digital Order Number: a106159",a106159,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=74436,"[Circular Quay, Sydney, N.S.W.]",,,,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796860&size=full&album=1&collection=823361&parent=74436,"Circular Quay, Sydney
Digital Order Number: a106240",a106240,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796861&size=full&album=1&collection=823361&parent=74436,"Circular Quay, Sydney
Digital Order Number: a106241",a106241,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796863&size=full&album=1&collection=823361&parent=74436,"West Circular Quay, Sydney
Digital Order Number: a106243",a106243,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796864&size=full&album=1&collection=823361&parent=74436,"On Sydney Harbour
Digital Order Number: a106244",a106244,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=74111,"[City streets and buildings, Sydney, N.S.W.]",,,,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796853&size=full&album=1&collection=823360&parent=74111,"Moore St., Sydney
Digital Order Number: a106233",a106233,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796854&size=full&album=1&collection=823360&parent=74111,"Pitt St., Sydney
Digital Order Number: a106234",a106234,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796856&size=full&album=1&collection=823360&parent=74111,"Victoria Markets [Queen Victoria Building], Sydney
Digital Order Number: a106236",a106236,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796857&size=full&album=1&collection=823360&parent=74111,"Town Hall, Sydney
Digital Order Number: a106237",a106237,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796858&size=full&album=1&collection=823360&parent=74111,"Sydney Hospital
Digital Order Number: a106238",a106238,
